date,normal_tx_count,normal_unique_senders,normal_unique_receivers,normal_value_total_eth,normal_value_mean_eth,normal_value_median_eth,normal_value_max_eth,normal_gas_price_mean_gwei,normal_gas_price_median_gwei,normal_gas_used_total,normal_gas_used_mean,normal_error_count,normal_input_length_mean,normal_unique_addresses,erc20_tx_count,erc20_unique_tokens,erc20_unique_senders,erc20_unique_receivers,erc20_value_total,erc20_value_mean,erc20_value_median,erc20_gas_price_mean_gwei,erc20_gas_used_total,erc20_gas_used_mean,erc20_unique_addresses,erc20_USDT_count,erc20_USDT_value,erc20_WETH_count,erc20_WETH_value,erc20_DAI_count,erc20_DAI_value,erc20_$ USDCFree.com - Visit to claim_count,erc20_$ USDCFree.com - Visit to claim_value,erc20_KNC_count,erc20_KNC_value,erc20_SUPER_count,erc20_SUPER_value,erc20_KITE_count,erc20_KITE_value,erc20_PAXG_count,erc20_PAXG_value,erc20_ONDO_count,erc20_ONDO_value,erc20_PROVE_count,erc20_PROVE_value,total_tx_count,erc20_ratio,day_of_week,is_weekend,month,day_of_month,week_of_year,total_tx_count_lag_1,total_tx_count_lag_3,total_tx_count_lag_7,total_tx_count_lag_14,normal_tx_count_lag_1,normal_tx_count_lag_3,normal_tx_count_lag_7,normal_tx_count_lag_14,erc20_tx_count_lag_1,erc20_tx_count_lag_3,erc20_tx_count_lag_7,erc20_tx_count_lag_14,normal_value_total_eth_lag_1,normal_value_total_eth_lag_3,normal_value_total_eth_lag_7,normal_value_total_eth_lag_14,normal_gas_price_mean_gwei_lag_1,normal_gas_price_mean_gwei_lag_3,normal_gas_price_mean_gwei_lag_7,normal_gas_price_mean_gwei_lag_14,total_tx_count_rolling_mean_3,total_tx_count_rolling_std_3,total_tx_count_rolling_mean_7,total_tx_count_rolling_std_7,total_tx_count_rolling_mean_14,total_tx_count_rolling_std_14,total_tx_count_rolling_mean_30,total_tx_count_rolling_std_30,normal_tx_count_rolling_mean_3,normal_tx_count_rolling_std_3,normal_tx_count_rolling_mean_7,normal_tx_count_rolling_std_7,normal_tx_count_rolling_mean_14,normal_tx_count_rolling_std_14,normal_tx_count_rolling_mean_30,normal_tx_count_rolling_std_30,erc20_tx_count_rolling_mean_3,erc20_tx_count_rolling_std_3,erc20_tx_count_rolling_mean_7,erc20_tx_count_rolling_std_7,erc20_tx_count_rolling_mean_14,erc20_tx_count_rolling_std_14,erc20_tx_count_rolling_mean_30,erc20_tx_count_rolling_std_30,normal_value_total_eth_rolling_mean_3,normal_value_total_eth_rolling_std_3,normal_value_total_eth_rolling_mean_7,normal_value_total_eth_rolling_std_7,normal_value_total_eth_rolling_mean_14,normal_value_total_eth_rolling_std_14,normal_value_total_eth_rolling_mean_30,normal_value_total_eth_rolling_std_30,normal_gas_price_mean_gwei_rolling_mean_3,normal_gas_price_mean_gwei_rolling_std_3,normal_gas_price_mean_gwei_rolling_mean_7,normal_gas_price_mean_gwei_rolling_std_7,normal_gas_price_mean_gwei_rolling_mean_14,normal_gas_price_mean_gwei_rolling_std_14,normal_gas_price_mean_gwei_rolling_mean_30,normal_gas_price_mean_gwei_rolling_std_30
2025-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57,41,48,7,2.600000012765003e+20,4.5614035311666724e+18,34500000000.0,1.4119564020526316,51018147,895055.2105263158,55,14,4850.806884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,1.0,4,0,4,25,17,153.0,41.0,19.0,33.0,0.0,0.0,0.0,0.0,153.0,41.0,19.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,56.311632901204355,61.57142857142857,41.88817312343721,41.857142857142854,35.66480088235489,29.466666666666665,27.088276295173863,0.0,0.0,0.0,0.0,0.07142857142857142,0.2672612419124244,0.03333333333333333,0.18257418583505536,88.0,56.311632901204355,61.57142857142857,41.88817312343721,41.785714285714285,35.68274431371894,29.433333333333334,27.08312024673026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472671914285714,0.2421852068025137,0.030205802266666668,0.1654439926899401
2025-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,21,27,7,11621010002458.84,374871290401.8981,34500000000.0,1.373480699064516,39719098,1281261.2258064516,33,7,407.851143,0.0,0.0,1.0,50.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,1.0,5,1,4,26,17,57.0,54.0,27.0,14.0,0.0,0.0,0.0,0.0,57.0,54.0,27.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.33333333333333,64.25988899253821,62.142857142857146,41.36193326972911,43.07142857142857,34.9251161238404,30.4,26.62329806766998,0.0,0.0,0.0,0.0,0.07142857142857142,0.2672612419124244,0.03333333333333333,0.18257418583505536,80.33333333333333,64.25988899253821,62.142857142857146,41.361933269729114,43.0,34.94611236218943,30.366666666666667,26.61926102413935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472671914285714,0.2421852068025137,0.030205802266666668,0.1654439926899401
2025-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,1,6,1,2031613.219637,169301.10163641666,691.3272685,1.21394160925,13831199,1152599.9166666667,7,12,2031613.219637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,6,1,4,27,17,31.0,153.0,59.0,34.0,0.0,0.0,0.0,0.0,31.0,153.0,59.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333333333333336,22.590558499809838,55.42857142857143,45.558962319383966,41.5,35.847433123425475,30.166666666666668,26.756995003348106,0.0,0.0,0.0,0.0,0.07142857142857142,0.2672612419124244,0.03333333333333333,0.18257418583505536,33.333333333333336,22.590558499809838,55.42857142857143,45.558962319383966,41.42857142857143,35.86451918350134,30.133333333333333,26.752677382393653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472671914285714,0.2421852068025137,0.030205802266666668,0.1654439926899401
2025-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5,17,5,4500007075.94191,250000393.10788387,9.64,1.7458165935555554,1279590,71088.33333333333,21,13,7075.94102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0,0,4,28,18,12.0,57.0,40.0,11.0,0.0,0.0,0.0,0.0,12.0,57.0,40.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.333333333333332,9.712534856222126,52.285714285714285,47.517415353791726,42.0,35.43574900707347,30.233333333333334,26.722950659573936,0.0,0.0,0.0,0.0,0.07142857142857142,0.2672612419124244,0.03333333333333333,0.18257418583505536,20.333333333333332,9.712534856222126,52.285714285714285,47.517415353791726,41.92857142857143,35.454118315006866,30.2,26.71871357630105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472671914285714,0.2421852068025137,0.030205802266666668,0.1654439926899401
2025-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,2,10,12,198000139000847.12,8608701695689.006,78.438549,0.8861504624782609,31719887,1379125.5217391304,21,14,847.135813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,1.0,1,0,4,29,18,18.0,31.0,41.0,28.0,0.0,0.0,0.0,0.0,18.0,31.0,41.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,5.507570547285763,49.714285714285715,48.702204897773996,41.642857142857146,35.61245923475734,30.533333333333335,26.584586321495724,0.0,0.0,0.0,0.0,0.07142857142857142,0.2672612419124244,0.03333333333333333,0.18257418583505536,17.666666666666668,5.507570547285763,49.714285714285715,48.702204897774,41.57142857142857,35.629966397605614,30.5,26.58071637030539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06472671914285714,0.2421852068025137,0.030205802266666668,0.1654439926899401
2025-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,5,21,10,1.0000888776896762e+37,3.0305723566353823e+35,50.0,1.385698008030303,56937618,1725382.3636363635,29,17,76686.409424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,2,0,4,30,18,23.0,12.0,54.0,34.0,0.0,0.0,0.0,1.0,23.0,12.0,54.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.906174068,24.666666666666668,7.637626158259516,46.714285714285715,49.03982832254576,41.57142857142857,35.62996639760562,30.966666666666665,26.51282491658464,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,24.666666666666668,7.637626158259516,46.714285714285715,49.039828322545766,41.57142857142857,35.629966397605614,30.933333333333334,26.509508161950233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030205802266666668,0.1654439926899401
2025-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,3,10,5,7131410000990.349,396189444499.4638,282210000392.045,0.7123527565555556,31875928,1770884.888888889,15,8,990.3482260000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,3,0,5,1,18,33.0,18.0,153.0,15.0,0.0,0.0,0.0,0.0,33.0,18.0,153.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.666666666666668,7.637626158259516,27.428571428571427,15.020620746794954,41.785714285714285,35.466514155941894,30.866666666666667,26.557333337949963,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,24.666666666666668,7.637626158259516,27.428571428571427,15.020620746794973,41.785714285714285,35.46651415594189,30.833333333333332,26.553892283473232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030205802266666668,0.1654439926899401
2025-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,3,16,4,2.5000000400000002e+20,1.3157894947368421e+19,200.0,1.803244038105263,2763670,145456.31578947368,19,15,11293.650212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,4,0,5,2,18,18.0,23.0,57.0,19.0,0.0,0.0,0.0,0.0,18.0,23.0,57.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.333333333333332,8.38649708360588,22.0,7.571877794400318,41.785714285714285,35.466514155941894,30.966666666666665,26.505020127402712,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,23.333333333333332,8.38649708360588,22.0,7.571877794400358,41.785714285714285,35.46651415594189,30.933333333333334,26.50170239597935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030205802266666668,0.1654439926899401
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218,208,214,3,7072500002081.455,32442660560.006676,34500000000.0,0.48955933164220183,244357872,1120907.6697247706,217,11,2081.454188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218.0,1.0,5,1,5,3,18,19.0,33.0,31.0,27.0,0.0,0.0,0.0,0.0,19.0,33.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,115.18246394308466,48.714285714285715,74.92599523466312,55.42857142857143,58.559258987685396,37.36666666666667,43.192019803577644,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,85.0,115.18246394308466,48.714285714285715,74.92599523466313,55.42857142857143,58.559258987685396,37.333333333333336,43.19509337823016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030205802266666668,0.1654439926899401
2025-05-04,40.0,1.0,2.0,0.0,0.0,0.0,0.0,1.04,1.0,1110860.0,27771.5,20.0,105.15,3.0,28,4,10,4,13339335375001.506,476404834821.48236,200000000000.0,0.7125801351785714,39915078,1425538.5,14,7,7043.145737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.4117647058823529,6,1,5,4,18,218.0,18.0,12.0,59.0,0.0,0.0,0.0,0.0,218.0,18.0,12.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.66666666666667,103.68381423025164,56.714285714285715,73.32510776379007,56.07142857142857,58.6508105861938,38.8,43.47999936554261,13.333333333333334,23.09401076758503,5.714285714285714,15.118578920369089,2.857142857142857,10.690449676496975,1.3666666666666667,7.2989528456949335,88.33333333333333,112.38475578713215,51.0,73.85571519298061,53.214285714285715,58.99827712142706,37.43333333333333,43.16902092723545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666667,0.6004442799572108,0.14857142857142858,0.39308305192959636,0.07428571428571429,0.27795169158892136,0.06487246893333333,0.24750467252646025
2025-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,9,24,5,6.000000014001236e+21,6.5217391456535175e+19,0.0,0.763434259902174,66282015,720456.6847826086,29,17,385397.637536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1.0,0,0,5,5,19,68.0,19.0,18.0,40.0,40.0,0.0,0.0,0.0,28.0,19.0,18.0,40.0,0.0,0.0,0.0,0.0,1.04,0.0,0.0,0.0,126.0,80.57294831393475,67.28571428571429,72.13809508092628,59.785714285714285,59.19872474123924,41.53333333333333,44.17889442532121,13.333333333333334,23.09401076758503,5.714285714285714,15.118578920369089,2.857142857142857,10.690449676496975,1.3666666666666667,7.2989528456949335,112.66666666666667,96.67126425848238,61.57142857142857,73.64069785758674,56.92857142857143,59.73462375143309,40.166666666666664,43.960862949495976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3466666666666667,0.6004442799572108,0.14857142857142858,0.39308305192959636,0.07428571428571429,0.27795169158892136,0.06487246893333333,0.24750467252646025
2025-05-06,4.0,1.0,2.0,2.224e-05,5.56e-06,5.56e-06,5.56e-06,1.9347707342499998,1.919697056,84000.0,21000.0,2.0,0.0,3.0,15,4,13,4,1.6000000100038014e+20,1.0666666733358676e+19,258.0,2.5930304545333334,1513245,100883.0,16,10,150126.9473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.7894736842105263,1,0,5,6,19,92.0,218.0,23.0,41.0,0.0,0.0,0.0,0.0,92.0,218.0,23.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.666666666666664,37.20663023351255,66.71428571428571,72.5619603872311,58.214285714285715,60.02201976893861,41.53333333333333,44.17889442532121,14.666666666666666,22.030282189144405,6.285714285714286,14.941154414505434,3.142857142857143,10.661628846960003,1.5,7.309653513180951,45.0,41.21892769104982,60.42857142857143,74.39726057424683,55.07142857142857,60.6648602959347,40.03333333333333,44.033281561308506,7.413333333333333e-06,1.2840269986777278e-05,3.177142857142857e-06,8.405929879725213e-06,1.5885714285714286e-06,5.943890020132318e-06,7.413333333333333e-07,4.060449892971632e-06,0.9915902447499999,0.9682933836550235,0.42496724775,0.7703632976815565,0.212483623875,0.5679143846837607,0.12936482674166666,0.4211655208932383
2025-05-07,2.0,1.0,2.0,1.8e-05,9e-06,9e-06,9e-06,10.0,10.0,46918.0,23459.0,0.0,0.0,3.0,27,7,14,6,440378001018.8956,16310296334.03317,10.0,1.435977167037037,32298426,1196238.0,20,15,1018.873917,0.0,0.0,1.0,0.0001984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.9310344827586207,2,0,5,7,19,19.0,68.0,33.0,54.0,4.0,40.0,0.0,0.0,15.0,28.0,33.0,54.0,2.224e-05,0.0,0.0,0.0,1.9347707342499998,1.04,0.0,0.0,46.666666666666664,39.576929306520604,66.14285714285714,72.8867353533974,56.42857142857143,60.52680815551491,41.8,44.0747014776598,2.0,1.9999999999999858,6.571428571428571,14.819549507965739,3.2857142857142856,10.629628920569663,1.5666666666666667,7.304619857622148,44.666666666666664,41.42865353029624,59.57142857142857,74.79941430888601,53.142857142857146,61.12893956831946,40.233333333333334,43.95741146824397,1.3413333333333334e-05,1.180815537386485e-05,5.748571428571428e-06,9.893559232435731e-06,2.874285714285714e-06,7.353472977795243e-06,1.3413333333333334e-06,5.134878525463321e-06,3.9782569114166666,5.303949171815604,1.8535386763214288,3.669143824331378,0.9267693381607144,2.6717945295818057,0.462698160075,1.8497287929401438
2025-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,4,16,7,816500002051.6887,42973684318.50993,35.0,8.452669651894738,4561563,240082.26315789475,22,12,2041.688593,0.0,0.0,1.0,0.0001984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,3,0,5,8,19,29.0,92.0,18.0,153.0,2.0,0.0,0.0,0.0,27.0,92.0,18.0,153.0,1.8e-05,0.0,0.0,0.0,10.0,0.0,0.0,0.0,22.333333333333332,5.773502691895775,66.28571428571429,72.77754755809946,46.857142857142854,54.361832117845246,42.0,43.952952903821114,2.0,1.9999999999999856,6.571428571428571,14.819549507965739,3.2857142857142856,10.629628920569663,1.5666666666666667,7.304619857622148,20.333333333333332,6.110100926607151,59.714285714285715,74.70768431184369,43.57142857142857,54.41254703398173,40.43333333333333,43.84273095361721,1.3413333333333334e-05,1.1808155373864849e-05,5.748571428571428e-06,9.893559232435731e-06,2.874285714285714e-06,7.353472977795243e-06,1.3413333333333334e-06,5.134878525463321e-06,3.9782569114166666,5.303949171815603,1.8535386763214288,3.669143824331378,0.9267693381607144,2.6717945295818057,0.462698160075,1.8497287929401438
2025-05-09,4.0,1.0,2.0,2e-05,5e-06,5e-06,5e-06,6.6979982175,6.6979982175,114744.0,28686.0,0.0,183.0,3.0,21,5,14,8,2.00000000139716e+20,9.523809530462667e+18,56.7451,28.204099869190475,5711624,271982.09523809527,21,11,3201.5835660000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.84,4,0,5,9,19,19.0,19.0,19.0,57.0,0.0,4.0,0.0,0.0,19.0,15.0,19.0,57.0,0.0,2.224e-05,0.0,0.0,0.0,1.9347707342499998,0.0,0.0,24.333333333333332,5.033222956846626,67.14285714285714,72.16053531635458,44.57142857142857,54.574880507588674,42.1,43.90927166249782,2.0,1.9999999999999856,7.142857142857143,14.599412904047105,3.5714285714285716,10.588195791063278,1.7,7.311540240582362,22.333333333333332,4.163331998931343,60.0,74.52963616352,41.0,54.57951151231639,40.4,43.85760658280858,1.2666666666666667e-05,1.1015141094572204e-05,8.605714285714287e-06,1.0802849712217693e-05,4.302857142857144e-06,8.590753014878112e-06,2.008e-06,6.152251284047895e-06,5.565999405833334,5.095200288723796,2.8103955645357144,3.9665235683910365,1.4051977822678572,3.063984166127952,0.685964767325,2.1686865522621805
2025-05-10,2.0,1.0,2.0,1e-05,5e-06,5e-06,5e-06,1.856788511,1.856788511,65600.0,32800.0,0.0,295.0,3.0,18,4,10,4,196500002967.95483,10916666831.553047,19.906316,3.0959166497777777,3508200,194900.0,14,9,2967.954818,5.0,2.6641462227349e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.9,5,1,5,10,19,25.0,29.0,218.0,31.0,4.0,2.0,0.0,0.0,21.0,27.0,218.0,31.0,2e-05,1.8e-05,0.0,0.0,6.6979982175,10.0,0.0,0.0,21.333333333333332,3.2145502536634405,38.857142857142854,29.174352728772853,43.785714285714285,54.86371726858719,42.1,43.90927166249782,2.0,1.9999999999999856,7.428571428571429,14.455185261779974,3.7142857142857144,10.549725271148217,1.7666666666666666,7.304619857622148,19.333333333333332,1.5275252316493901,31.428571428571427,27.1222979782143,40.07142857142857,54.87252960721335,40.333333333333336,43.89119252890261,1e-05,9.999999999999999e-06,1.0034285714285716e-05,1.0114423458841433e-05,5.017142857142858e-06,8.621143444214016e-06,2.3413333333333333e-06,6.308621213006485e-06,2.8515955761666665,3.458037861719767,3.075651066107143,3.8060998219350264,1.5378255330535715,3.0385608727812636,0.7478577176916666,2.1749213061824992
2025-05-11,2.0,1.0,2.0,1e-05,5e-06,5e-06,5e-06,5.997249813,5.997249813,63120.0,31560.0,0.0,264.0,3.0,12,2,11,1,1346.156152,112.17967933333334,24.05,4.358322537166667,1277564,106463.66666666667,12,11,1345.156152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.8571428571428571,6,1,5,11,19,20.0,19.0,68.0,12.0,2.0,0.0,40.0,0.0,18.0,19.0,28.0,12.0,1e-05,0.0,0.0,0.0,1.856788511,0.0,1.04,0.0,19.666666666666668,5.507570547285579,31.142857142857142,27.260646675067267,43.92857142857143,54.77712083555475,41.46666666666667,44.181235940106994,2.6666666666666665,1.1547005383792257,2.0,1.6329931618554636,3.857142857142857,10.509022810878301,1.8333333333333333,7.29706286369945,17.0,4.582575694954977,29.142857142857142,28.11540841738192,40.07142857142857,54.87252960721335,39.63333333333333,44.17869929348722,1.3333333333333335e-05,5.773502691896258e-06,1.1462857142857144e-05,9.11809503914371e-06,5.731428571428572e-06,8.587682464430674e-06,2.674666666666667e-06,6.443393694230594e-06,4.850678847166667,2.616351771139813,3.783829610821429,3.8253457609247623,1.9662005196964287,3.2222730156818775,0.9477660447916667,2.3706257284084304
2025-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,14,5,4.000000000446639e+21,2.5000000002791493e+20,34.0,6.661889708125,2573454,160840.875,19,12,2418.627137,1.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0,0,5,12,20,14.0,25.0,92.0,18.0,2.0,4.0,0.0,0.0,12.0,21.0,92.0,18.0,1e-05,2e-05,0.0,0.0,5.997249813,6.6979982175,0.0,0.0,16.666666666666668,3.0550504633029147,20.285714285714285,5.15474815790523,43.785714285714285,54.8524995173119,41.53333333333333,44.13985089215423,1.3333333333333333,1.1547005383792517,2.0,1.6329931618554636,3.857142857142857,10.509022810878301,1.8333333333333333,7.29706286369945,15.333333333333334,3.055050463302587,18.285714285714285,4.82059075613092,39.92857142857143,54.93697687870555,39.7,44.14017639762888,6.6666666666666675e-06,5.773502691896258e-06,1.1462857142857144e-05,9.11809503914371e-06,5.731428571428572e-06,8.587682464430674e-06,2.674666666666667e-06,6.443393694230594e-06,2.6180127746666666,3.070235840221116,3.783829610821429,3.8253457609247623,1.9662005196964287,3.2222730156818775,0.9477660447916667,2.3706257284084304
2025-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,4,17,5,800000016016.5156,32000000640.660625,535.936711,4.12551752392,7137703,285508.12,22,15,16013.812724,1.0,0.9955555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,1,0,5,13,20,16.0,20.0,19.0,23.0,0.0,2.0,4.0,0.0,16.0,18.0,15.0,23.0,0.0,1e-05,2.224e-05,0.0,0.0,1.856788511,1.9347707342499998,0.0,18.333333333333332,5.8594652770818145,21.142857142857142,5.398412465054512,43.92857142857143,54.79677739782525,41.233333333333334,44.22332301908772,0.6666666666666666,1.1547005383792517,1.4285714285714286,1.5118578920369214,3.857142857142857,10.509022810878301,1.8333333333333333,7.29706286369945,17.666666666666668,6.658328118478801,19.714285714285715,5.154748157905314,40.07142857142857,54.89215200416496,39.4,44.21078039854393,3.3333333333333337e-06,5.773502691896257e-06,8.285714285714285e-06,8.596787882968957e-06,5.731428571428572e-06,8.587682464430674e-06,2.674666666666667e-06,6.443393694230594e-06,1.999083271,3.46251379393298,3.5074337916428573,4.044815743566819,1.9662005196964287,3.2222730156818775,0.9477660447916667,2.3706257284084304
2025-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4,22,6,2.50000000000001e+20,9.615384615384654e+18,78.03279040000001,2.9615351687307694,3610723,138873.96153846153,27,18,1015082.980683,5.0,0.0057699363019311995,1.0,95.0752968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,2,0,5,14,20,25.0,14.0,29.0,33.0,0.0,2.0,2.0,0.0,25.0,12.0,27.0,33.0,0.0,1e-05,1.8e-05,0.0,0.0,5.997249813,10.0,0.0,22.333333333333332,5.507570547285595,20.714285714285715,4.750939756661555,43.42857142857143,54.93592671427363,41.733333333333334,43.95368513312176,0.0,0.0,1.1428571428571428,1.5735915849388984,3.857142857142857,10.509022810878301,1.8333333333333333,7.29706286369945,22.333333333333332,5.507570547285404,19.571428571428573,4.928053803045777,39.57142857142857,54.99330628598118,39.9,43.96264087954054,0.0,0.0,5.7142857142857145e-06,7.867957924694429e-06,5.731428571428572e-06,8.587682464430674e-06,2.674666666666667e-06,6.443393694230594e-06,0.0,0.0,2.0788623630714285,3.0007267992821016,1.9662005196964287,3.2222730156818775,0.9477660447916667,2.3706257284084304
